,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location,copy_number_scaling
Total,1.8153465062572255e+21,1.0,0.2525761950235317,,,1.0000000000000018,,,Total,
pg_n,4.382150192628608e+19,0.024139469668870366,1.0,,,,,,pg_n,
n,1.2881127997838655e+19,0.007095685563852053,0.0,1.0315229148409353,0.7893398100877087,0.08,0.92968,,n,0.7928197986476194
pg_Secreted,1.1654738591705647e+19,0.006420117895692928,1.0,,,,,,pg_Secreted,
Secreted,1.8204099745061243e+18,0.0010027892571646492,0.0,1.0315229148409353,0.7893398100877087,0.09438538,0.99150582784,,Secreted,0.7994956680867072
Ribosomes,2.8123464477825532e+20,0.15492064121581303,0.2036816773106691,1.0315229148409353,,0.1624,,,Ribosomes,
m,1.8012304706498324e+20,0.09922240544387877,0.06836703854665505,1.0315229148409353,0.7893398100877087,0.0816,0.0687246076,1.0100424862998827,m,0.8220792554476303
cM,4.640644868585473e+19,0.025563410911304648,0.2873703624360008,1.0315229148409353,0.7893398100877087,0.02106088332,0.28973026964000004,1.0100424862998827,cM,0.8211399984213468
c,1.0507544612696797e+21,0.5788175743021443,0.25399412410650113,1.0315229148409353,0.7893398100877087,0.6391537982400001,0.19234105688,1.0100424862998827,c,0.8194006635799631
x,9.701596349040185e+18,0.005344211871177346,0.027185983839128958,1.0315229148409353,0.7893398100877087,0.00439,0.023592917400000003,1.0100424862998827,x,0.8244834732133536
mIM,7.0148589231203615e+19,0.03864198321885767,0.07048224706172557,1.0315229148409353,0.7893398100877087,0.03248157544000001,0.06919612188,1.0100424862998827,mIM,0.841740402291229
vM,9.949412587002888e+18,0.00548072368151687,0.9261330879787415,1.0315229148409353,0.7893398100877087,0.00451,0.9284297566799999,1.0100424862998827,vM,0.7972989362292212
mOM,1.878914481340535e+19,0.010350169925489159,0.22445578836533486,1.0315229148409353,0.7893398100877087,0.00851,0.22466262880000004,1.0100424862998827,mOM,0.8219894372358204
mIMS,2.060709016915093e+19,0.011351601525175167,0.015696048585160716,1.0315229148409353,0.7893398100877087,0.00984,0.0157,1.0100424862998827,mIMS,0.8668345586506717
gM,2.9812912021633466e+19,0.016422711542326964,0.5819104216305634,1.0315229148409353,0.7893398100877087,0.013613160119999999,0.58710960072,1.0100424862998827,gM,0.8186146837948793
erM,2.7641380796682674e+19,0.015226503976737778,0.6116650999504677,1.0315229148409353,0.7893398100877087,0.01265006,0.63377,1.0100424862998827,erM,0.783501584939524
