,Process,Parameter,Value
TOM,P_TOM,P_TOM_apparent_efficiency,8786.726003098103
Tim910,P_Tim910,P_Tim910_apparent_efficiency,3456.103745955225
TIM23,P_Tim23,P_Tim23_apparent_efficiency,17326.05263556609
PAMm,P_PAMm,P_PAMm_apparent_efficiency,9821.306844223574
HSP40c,P_HSP40c,P_HSP40c_apparent_efficiency,17693.15235786675
HSP70c,P_HSP70c,P_HSP70c_apparent_efficiency,2032.4203157988727
CTTc,P_CTTc,P_CTTc_apparent_efficiency,37775.87059310125
HSP90c,P_HSP90c,P_HSP90c_apparent_efficiency,9259.57165910709
PFD,P_PFDc,P_PFDc_apparent_efficiency,134109.92800891353
HSP60m,P_HSP60m,P_HSP60m_apparent_efficiency,1143.7108679428952
SEC63er,P_SEC63er,P_SEC63er_apparent_efficiency,63390.436540211886
SEC61er,P_SEC61er,P_SEC61er_apparent_efficiency,4530.39101352332
HSP100m,P_HSP100m,P_HSP100m_apparent_efficiency,2341.198155206657
HSP26c,P_HSP26c,P_HSP26c_apparent_efficiency,135.93944859911144
SAM,P_SAMm,P_SAMm_apparent_efficiency,9023.148831102597
MIA,P_MIA,P_MIA_apparent_efficiency,9023.148831102597
TIM22,P_TIM22,P_TIM22_apparent_efficiency,9023.148831102597
MPP,P_MPP,P_MPP_apparent_efficiency,9023.148831102597
RNApolymerase2,P_RNApolymerase2,P_RNApolymerase2_apparent_efficiency,3.135051849238821e-16
RNApolymerase3,P_RNApolymerase3,P_RNApolymerase3_apparent_efficiency,1.454851463859137e-18
DNAreplication,P_DNAreplication,P_DNAreplication_apparent_efficiency,1.2776657471252419e-18
mitoDNAreplication,P_mitoDNAreplication,P_mitoDNAreplication_apparent_efficiency,1.0603210183345159e-20
