,Process,Parameter,Value
TOM,P_TOM,P_TOM_apparent_efficiency,24225.710927834516
Tim910,P_Tim910,P_Tim910_apparent_efficiency,14941.97061131598
TIM23,P_Tim23,P_Tim23_apparent_efficiency,47333.33005733997
PAMm,P_PAMm,P_PAMm_apparent_efficiency,30488.110021267494
HSP40c,P_HSP40c,P_HSP40c_apparent_efficiency,99807.41713127897
HSP70c,P_HSP70c,P_HSP70c_apparent_efficiency,8743.066859096043
CTTc,P_CTTc,P_CTTc_apparent_efficiency,137429.09485115408
HSP90c,P_HSP90c,P_HSP90c_apparent_efficiency,38917.775315283754
PFD,P_PFDc,P_PFDc_apparent_efficiency,638114.3410140553
HSP60m,P_HSP60m,P_HSP60m_apparent_efficiency,3122.138762107419
SEC63er,P_SEC63er,P_SEC63er_apparent_efficiency,252295.48919285575
SEC61er,P_SEC61er,P_SEC61er_apparent_efficiency,20439.315576729692
HSP100m,P_HSP100m,P_HSP100m_apparent_efficiency,10200.356387704878
HSP26c,P_HSP26c,P_HSP26c_apparent_efficiency,6012.65864594674
SAM,P_SAMm,P_SAMm_apparent_efficiency,27356.910474551005
MIA,P_MIA,P_MIA_apparent_efficiency,27356.910474551005
TIM22,P_TIM22,P_TIM22_apparent_efficiency,27356.910474551005
MPP,P_MPP,P_MPP_apparent_efficiency,27356.910474551005
RNApolymerase2,P_RNApolymerase2,P_RNApolymerase2_apparent_efficiency,3.827775946300341e-16
RNApolymerase3,P_RNApolymerase3,P_RNApolymerase3_apparent_efficiency,1.0855151072913645e-17
DNAreplication,P_DNAreplication,P_DNAreplication_apparent_efficiency,8.171043353731534e-18
mitoDNAreplication,P_mitoDNAreplication,P_mitoDNAreplication_apparent_efficiency,9.008545326870759e-20
