,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location
Total,1.845172978190123e+21,1.0,0.24545997549804832,,,1.0000000000000016,,,Total
pg_n,4.1330177769567855e+19,0.022399080334520958,1.0,,,,,,pg_n
n,1.4519937316886698e+19,0.007869146951809843,0.0,1.030554838966822,0.7923108244625973,0.08,0.9196835758225967,,n
pg_Secreted,1.3377210020734435e+19,0.007249840626788148,1.0,,,,,,pg_Secreted
Secreted,2.5543578274371753e+18,0.0013843459977083944,0.0,1.030554838966822,0.7923108244625973,0.0924,0.987766819765585,,Secreted
Ribosomes,2.1425369129957114e+20,0.11611577550291595,0.20541459284859442,1.030554838966822,,0.1301,,,Ribosomes
m,2.64665030202484e+20,0.14343643296905761,0.0479077268270387,1.030554838966822,0.7923108244625973,0.11840126111886852,0.0479077268270387,1.0109511149631707,m
cM,3.601948219426914e+19,0.01952092439029733,0.397053708849057,1.030554838966822,0.7923108244625973,0.016113772618117757,0.397053708849057,1.0109511149631707,cM
c,1.0666189319662752e+21,0.5780590462648607,0.25758512822202884,1.030554838966822,0.7923108244625973,0.6072655196814223,0.20240032998209817,1.0109511149631707,c
gM,2.508557826165714e+19,0.013595244759254421,0.6005027828097264,1.030554838966822,0.7923108244625973,0.011222351890629194,0.6005027828097264,1.0109511149631707,gM
erM,2.5879944184451936e+19,0.014025755032374703,0.59991077612509,1.030554838966822,0.7923108244625973,0.011577721570472432,0.59991077612509,1.0109511149631707,erM
mIMS,9.320464613768921e+18,0.005051268755794969,0.04650449555043612,1.030554838966822,0.7923108244625973,0.004169628165986814,0.04650449555043612,1.0109511149631707,mIMS
x,1.365994171363528e+19,0.007403068370876493,0.04102857123702541,1.030554838966822,0.7923108244625973,0.006110948335211819,0.04102857123702541,1.0109511149631707,x
mIM,8.567390746183041e+19,0.046431369023117536,0.07438970160020208,1.030554838966822,0.7923108244625973,0.038327310112338205,0.07438970160020208,1.0109511149631707,mIM
mOM,2.2265416386424635e+19,0.012066845032742751,0.2314642740603835,1.030554838966822,0.7923108244625973,0.0099607166744791,0.2314642740603835,1.0109511149631707,mOM
vM,9.948906971132838e+18,0.005391855987882195,0.9409209439324752,1.030554838966822,0.7923108244625973,0.004450769832475492,0.9409209439324752,1.0109511149631707,vM
