,Process,Parameter,Value
TOM,P_TOM,P_TOM_apparent_efficiency,29839.339437768944
Tim910,P_Tim910,P_Tim910_apparent_efficiency,14869.891681074643
TIM23,P_Tim23,P_Tim23_apparent_efficiency,49235.97526314333
PAMm,P_PAMm,P_PAMm_apparent_efficiency,34664.734185817964
HSP40c,P_HSP40c,P_HSP40c_apparent_efficiency,119117.16239642097
HSP70c,P_HSP70c,P_HSP70c_apparent_efficiency,13544.31426190706
CTTc,P_CTTc,P_CTTc_apparent_efficiency,183116.52171345707
HSP90c,P_HSP90c,P_HSP90c_apparent_efficiency,50704.827790228286
PFD,P_PFDc,P_PFDc_apparent_efficiency,738313.6242287391
HSP60m,P_HSP60m,P_HSP60m_apparent_efficiency,4071.3525668079587
SEC63er,P_SEC63er,P_SEC63er_apparent_efficiency,324159.4571002092
SEC61er,P_SEC61er,P_SEC61er_apparent_efficiency,31422.214232862698
HSP100m,P_HSP100m,P_HSP100m_apparent_efficiency,19677.00361406252
HSP26c,P_HSP26c,P_HSP26c_apparent_efficiency,10653.212690892271
SAM,P_SAMm,P_SAMm_apparent_efficiency,33043.47420934033
MIA,P_MIA,P_MIA_apparent_efficiency,33043.47420934033
TIM22,P_TIM22,P_TIM22_apparent_efficiency,33043.47420934033
MPP,P_MPP,P_MPP_apparent_efficiency,33043.47420934033
RNApolymerase2,P_RNApolymerase2,P_RNApolymerase2_apparent_efficiency,3.1816445182053735e-16
RNApolymerase3,P_RNApolymerase3,P_RNApolymerase3_apparent_efficiency,1.2590173989875016e-17
DNAreplication,P_DNAreplication,P_DNAreplication_apparent_efficiency,1.1256302107586374e-17
mitoDNAreplication,P_mitoDNAreplication,P_mitoDNAreplication_apparent_efficiency,1.7253854034989986e-19
