,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location,copy_number_scaling
Total,1.9986538504194656e+21,1.0,0.2647516700239575,,,0.9999999999999999,,,Total,
pg_n,4.310546703304869e+19,0.021567249888719834,1.0,,,,,,pg_n,
n,1.625347166223099e+19,0.008132209416262755,0.0,1.0317530037736264,0.7990792903499362,0.08,0.91619,,n,0.8244745870158946
pg_Secreted,1.840466477410505e+19,0.009208530416731435,1.0,,,,,,pg_Secreted,
Secreted,2.909257342445503e+18,0.0014556084045443513,0.0,1.0317530037736264,0.7990792903499362,0.09090350000000001,0.9868855999999999,,Secreted,0.8190010834494902
Ribosomes,1.844329107231916e+20,0.09227856573787599,0.2224274165901211,1.0317530037736264,,0.1061,,,Ribosomes,
mIMS,8.475963011293207e+18,0.0042408359053841774,0.07186837152997771,1.0317530037736264,0.7990792903499362,0.00353,0.07187,1.0110540510748385,mIMS,0.832381607100948
mOM,2.5280904297213067e+19,0.012648965848642205,0.35304368039922074,1.0317530037736264,0.7990792903499362,0.01075,0.352532,1.0110540510748385,mOM,0.8505440166179525
mIM,7.990125858352968e+19,0.039977537164207044,0.08513676262305447,1.0317530037736264,0.7990792903499362,0.03241185,0.08302957500000001,1.0110540510748385,mIM,0.8126189335510831
cM,3.3935679647348306e+19,0.016979268141017058,0.5209691473856306,1.0317530037736264,0.7990792903499362,0.014427675000000001,0.511054725,1.0110540510748385,cM,0.8673095967778192
vM,1.4478414766236697e+19,0.007244083192894084,0.9571948960337401,1.0317530037736264,0.7990792903499362,0.00604,0.954446325,1.0110540510748385,vM,0.887322250872494
c,1.228897954672579e+21,0.6148628260039452,0.2704657592528775,1.0317530037736264,0.7990792903499362,0.6179241000000001,0.22118295,1.0110540510748385,c,0.8363360756893222
erM,2.7792609653153817e+19,0.013905664378712136,0.568544429417777,1.0317530037736264,0.7990792903499362,0.01158,0.56488,1.0110540510748385,erM,0.8398269004250761
x,1.426485348448271e+19,0.007137230632252247,0.029088063074538595,1.0317530037736264,0.7990792903499362,0.00609,0.035473375,1.0110540510748385,x,0.8476604917843157
gM,2.761567654210279e+19,0.013817138238473348,0.6355938739717999,1.0317530037736264,0.7990792903499362,0.011350675,0.62506505,1.0110540510748385,gM,0.845227935608903
m,2.7290476422650436e+20,0.13654428663033807,0.04615300529864785,1.0317530037736264,0.7990792903499362,0.11661,0.04669375,1.0110540510748385,m,0.8535244907448836
