,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location
Total,1.840151827851849e+21,1.0,0.2520328750458225,,,1.0,,,Total
pg_n,4.297171570703324e+19,0.023352266403581186,1.0,,,,,,pg_n
n,1.4310189397428742e+19,0.007776635156314319,0.0,1.0321615986104273,0.8000038590673754,0.08,0.9197321710556534,,n
pg_Secreted,1.4366422574114503e+19,0.007807194143803631,1.0,,,,,,pg_Secreted
Secreted,2.3497485642930104e+18,0.0012769318969924634,0.0,1.0321615986104273,0.8000038590673754,0.0917,0.9885015797083514,,Secreted
Ribosomes,2.0168842571883807e+20,0.1096042308390849,0.20584366217802064,1.0321615986104273,,0.1188,,,Ribosomes
m,2.593442050468585e+20,0.14093630814670927,0.05080888066151745,1.0321615986104273,0.8000038590673754,0.11761507937291743,0.05080888066151745,1.0106489659348907,m
cM,3.7149618160418275e+19,0.02018834402582198,0.40745247073496804,1.0321615986104273,0.8000038590673754,0.016847707423505807,0.40745247073496804,1.0106489659348907,cM
c,1.0812136667400974e+21,0.5875676400040759,0.2631401627016208,1.0321615986104273,0.8000038590673754,0.6091407469996989,0.21182024775104855,1.0106489659348907,c
gM,2.373895884694586e+19,0.012900543578873151,0.584291529405625,1.0321615986104273,0.8000038590673754,0.010765845061043439,0.584291529405625,1.0106489659348907,gM
erM,2.6242250278721253e+19,0.014260915801363985,0.5612104476351216,1.0321615986104273,0.8000038590673754,0.011901111686293885,0.5612104476351216,1.0106489659348907,erM
mIMS,8.545202828625838e+18,0.004643748792512035,0.05670629294525409,1.0321615986104273,0.8000038590673754,0.0038753312755336654,0.05670629294525409,1.0106489659348907,mIMS
x,1.3670453033559912e+19,0.007428981036591141,0.053689578503962165,1.0321615986104273,0.8000038590673754,0.006199681301208876,0.053689578503962165,1.0106489659348907,x
mIM,7.899604822390663e+19,0.04292909260434494,0.05889621655277222,1.0321615986104273,0.8000038590673754,0.035825464001876826,0.05889621655277222,1.0106489659348907,mIM
mOM,2.38452927388443e+19,0.012958328969344202,0.2746332978194439,1.0321615986104273,0.8000038590673754,0.010814068498823383,0.2746332978194439,1.0106489659348907,mOM
vM,1.1719629992163432e+19,0.0063688386005869195,0.9456096840162832,1.0321615986104273,0.8000038590673754,0.005314964379097943,0.9456096840162832,1.0106489659348907,vM
