,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location,copy_number_scaling
Total,1.840151827851849e+21,1.0,0.2520328750458225,,,1.0000000000000002,,,Total,
pg_n,4.297171570703324e+19,0.023352266403581186,1.0,,,,,,pg_n,
n,1.4310189397428742e+19,0.007776635156314319,0.0,1.0321615986104273,0.8000038590673754,0.08,0.91619,,n,0.8621723747134996
pg_Secreted,1.4366422574114503e+19,0.007807194143803631,1.0,,,,,,pg_Secreted,
Secreted,2.3497485642930104e+18,0.0012769318969924634,0.0,1.0321615986104273,0.8000038590673754,0.09168835,0.987912076,,Secreted,0.8679568652766954
Ribosomes,2.0168842571883807e+20,0.1096042308390849,0.20584366217802064,1.0321615986104273,,0.1188,,,Ribosomes,
x,1.3670453033559912e+19,0.007428981036591141,0.053689578503962165,1.0321615986104273,0.8000038590673754,0.00609,0.04093312875,1.0106489659348907,x,0.8308130498546964
m,2.593442050468585e+20,0.14093630814670927,0.05080888066151745,1.0321615986104273,0.8000038590673754,0.11661,0.0483426775,1.0106489659348907,m,0.8295447742105179
cM,3.7149618160418275e+19,0.02018834402582198,0.40745247073496804,1.0321615986104273,0.8000038590673754,0.015872241750000002,0.43412352725000003,1.0106489659348907,cM,0.7508203220900918
vM,1.1719629992163432e+19,0.0063688386005869195,0.9456096840162832,1.0321615986104273,0.8000038590673754,0.005309950000000001,0.94946415825,1.0106489659348907,vM,0.7746546115372397
c,1.0812136667400974e+21,0.5875676400040759,0.2631401627016208,1.0321615986104273,0.8000038590673754,0.609842136,0.2147900195,1.0106489659348907,c,0.8316202269592222
mIM,7.899604822390663e+19,0.04292909260434494,0.05889621655277222,1.0321615986104273,0.8000038590673754,0.0372556285,0.06841627575,1.0106489659348907,mIM,0.8590620982483338
mIMS,8.545202828625838e+18,0.004643748792512035,0.05670629294525409,1.0321615986104273,0.8000038590673754,0.00353,0.06308595,1.0106489659348907,mIMS,0.7550206011329905
erM,2.6242250278721253e+19,0.014260915801363985,0.5612104476351216,1.0321615986104273,0.8000038590673754,0.01180145,0.56488,1.0106489659348907,erM,0.8206174019850757
mOM,2.38452927388443e+19,0.012958328969344202,0.2746332978194439,1.0321615986104273,0.8000038590673754,0.01075,0.27583169500000004,1.0106489659348907,mOM,0.8282116985147446
gM,2.373895884694586e+19,0.012900543578873151,0.584291529405625,1.0321615986104273,0.8000038590673754,0.011094861749999999,0.6068731455,1.0106489659348907,gM,0.8133130155008094
